code,name,releaseDate,type,isOnlineOnly,isFoilOnly,isNonFoilOnly,parentCode,totalSetSize,baseSetSize,keyruneCode,isPartialPreview,isForeignOnly,isPaperOnly,languages,mtgoCode,tcgplayerGroupId,tokenSetCode,mcmId,mcmName,mcmIdExtras,block
OM2,Through the Omenpaths 2,2026-06-26,expansion,false,true,true,MSH,0,0,DEFAULT,true,,,English,OM2,,,,,,
MSH,Marvel Super Heroes,2026-06-26,expansion,false,false,false,,20,303,MSH,true,,,English,,24553,,,,,
MSC,Marvel Super Heroes Commander,2026-06-26,commander,false,false,false,MSH,7,7,MSC,true,,,English,,24554,,,,,
PSOS,Secrets of Strixhaven Promos,2026-04-24,promo,false,false,false,SOS,81,81,SOS,,,,English,,,,,,,
SOC,Secrets of Strixhaven Commander,2026-04-24,commander,false,false,false,SOS,426,426,SOC,,,,English,SOC,24602,TSOC,,,,
ASOS,Secrets of Strixhaven Art Series,2026-04-24,memorabilia,false,false,false,,54,54,SOS,,,,English,,,ASOS,,,,
SOS,Secrets of Strixhaven,2026-04-24,expansion,false,false,false,,368,368,SOS,,,,English,SOS,24601,TSOS,,,,
SOA,Secrets of Strixhaven Mystical Archive,2026-04-24,masterpiece,false,false,false,SOS,195,195,SOA,,,,"English, Japanese",SOA,24603,,,,,
FTMC,Teenage Mutant Ninja Turtles Eternal Front Cards,2026-03-06,memorabilia,false,false,true,TMC,5,5,TMC,,,,English,,,FTMC,,,,
TMT,Teenage Mutant Ninja Turtles,2026-03-06,expansion,false,false,false,,320,260,TMT,,,,"English, French, German, Italian, Japanese, Spanish",TMT,24495,TTMT,,,,
ATMT,Teenage Mutant Ninja Turtles Art Series,2026-03-06,memorabilia,false,false,false,TMT,54,54,TMT,,,,English,,,ATMT,,,,
TMC,Teenage Mutant Ninja Turtles Eternal,2026-03-06,eternal,false,false,false,TMT,132,0,TMC,,,,"English, French, German, Japanese",TMC,24496,TTMC,,,,
PZA,Teenage Mutant Ninja Turtles Source Material,2026-03-06,masterpiece,false,false,false,TMT,20,20,PZA,,,,"English, French, German, Italian, Japanese, Spanish",PZA,24497,,,,,
PL26,Year of the Horse 2026,2026-02-17,promo,false,true,false,,4,5,PMEI,,,,English,,,PL26,,,,
YECL,Alchemy: Lorwyn Eclipsed,2026-02-03,alchemy,true,false,true,ECL,30,30,Y26,,,,English,,,,,,,
PECL,Lorwyn Eclipsed Promos,2026-01-23,promo,false,false,false,ECL,87,87,ECL,,,,English,,,,,,,
ECC,Lorwyn Eclipsed Commander,2026-01-23,commander,false,false,false,ECL,176,176,ECC,,,,"English, French, German, Italian, Japanese, Spanish",ECC,24464,TECC,6326,Commander: Lorwyn Eclipsed,,
AECL,Lorwyn Eclipsed Art Series,2026-01-23,memorabilia,false,false,false,ECL,54,54,ECL,,,,English,,,AECL,,,,
ECL,Lorwyn Eclipsed,2026-01-23,expansion,false,false,false,,408,408,ECL,,,,"English, French, German, Italian, Japanese, Spanish",ECL,24463,TECL,6325,Lorwyn Eclipsed,6421,
PW26,Wizards Play Network 2026,2026-01-01,promo,false,false,false,,9,9,PMEI,,,,"English, Japanese",,,,,,,
PF26,MagicFest 2026,2026-01-01,promo,false,false,false,,6,6,PMEI,,,,English,,,,,,,
AFIC,Final Fantasy Scene Box,2025-12-05,memorabilia,false,false,false,FIC,24,24,FIC,,,,English,,,AFIC,,,,
PTLA,Avatar: The Last Airbender Promos,2025-11-21,promo,false,true,false,TLA,80,88,TLA,,,,English,,,,,,,
TLA,Avatar: The Last Airbender,2025-11-21,expansion,false,false,false,,394,286,TLA,,,,"English, French, German, Italian, Japanese, Spanish",TLA,24421,TTLA,,,,
ATLA,Avatar: the Last Airbender Art Series,2025-11-21,memorabilia,false,false,false,TLA,54,0,TLA,,,,English,,24527,ATLA,,,,
JTLA,Avatar: The Last Airbender Jumpstart Front Cards,2025-11-21,memorabilia,false,false,false,TLA,46,0,TLA,,,,English,,,JTLA,,,,
FTLA,Avatar: The Last Airbender Beginner Box Front Cards,2025-11-21,memorabilia,false,false,false,TLA,10,0,TLA,,,,English,,,FTLA,,,,
TLE,Avatar: The Last Airbender Eternal,2025-11-21,eternal,false,false,false,TLA,317,0,TLE,,,,"English, French, German, Italian, Japanese, Spanish",TLE,24422,TTLE,,,,
ATLE,Avatar: the Last Airbender Eternal Art Series,2025-11-21,memorabilia,false,false,false,TLE,12,0,TLE,,,,English,,24422,ATLE,,,,
LMAR,Marvel Legends Series Inserts,2025-09-30,promo,false,true,false,MAR,4,0,PMEI,,,,English,,,,,,,
PSPM,Marvel's Spider-Man Promos,2025-09-26,promo,false,true,false,SPM,68,73,SPM,,,,English,,,,,,,
ASPM,Marvel's Spider-Man Art Series,2025-09-26,memorabilia,false,false,false,,54,0,SPM,,,,English,,,ASPM,,,,
MAR,Marvel Universe,2025-09-26,masterpiece,false,false,false,,53,0,MAR,,,,"English, French, German, Japanese, Spanish",,24432,,,,,
SPM,Marvel's Spider-Man,2025-09-26,expansion,false,false,false,,286,198,SPM,,,,"English, French, German, Italian, Japanese, Spanish",,24245,TSPM,,,,
SPE,Marvel's Spider-Man Eternal,2025-09-26,eternal,false,false,false,SPM,26,20,SPE,,,,"English, French, German, Japanese",,24246,,,,,
AA4,Arena Anthology 4,2025-09-23,box,true,false,true,,28,28,MTGA,,,,English,,,,,,,
OMB,Through the Omenpaths Bonus Sheet,2025-09-23,masterpiece,true,false,true,MAR,40,40,OMB,,,,English,,,,,,,
AA3,Arena Anthology 3,2025-09-23,box,true,false,true,,25,25,MTGA,,,,English,,,,,,,
OM1,Through the Omenpaths,2025-09-23,expansion,true,false,true,SPM,189,194,OM1,,,,English,OM1,,,,,,
PH23,2023 Heroes of the Realm,2025-08-24,funny,false,false,true,,1,1,PMEI,,,,English,,1163,,,,,Heroes of the Realm
AA2,Arena Anthology 2,2025-08-19,box,true,false,true,,25,26,MTGA,,,,English,,,,,,,
YEOE,Alchemy: Edge of Eternities,2025-08-19,alchemy,true,false,true,EOE,40,40,Y25,,,,English,,,,,,,
AA1,Arena Anthology 1,2025-08-19,box,true,false,true,,26,26,MTGA,,,,English,,,,,,,
AEOE,Edge of Eternities Art Series,2025-08-01,memorabilia,false,false,false,EOE,54,0,EOE,,,,English,,24377,AEOE,,,,
PEOE,Edge of Eternities Promos,2025-08-01,promo,false,false,false,EOE,160,160,EOE,,,,English,,24376,,,,,
EOC,Edge of Eternities Commander,2025-08-01,commander,false,false,false,EOE,191,24,EOC,,,,"English, French, German, Italian, Japanese, Spanish",EOC,24236,TEOC,,,,Commander
EOS,Edge of Eternities: Stellar Sights,2025-08-01,masterpiece,false,false,false,EOE,180,0,EOS,,,,English,EOS,24361,,,,,
PBIG,The Big Score Promos,2025-08-01,promo,false,false,false,BIG,9,9,BIG,,,,English,,,,,,,
EOE,Edge of Eternities,2025-08-01,expansion,false,false,false,,400,276,EOE,,,,"English, French, German, Italian, Japanese, Spanish",EOE,24233,TEOE,6063,Edge of Eternities,6174,
RFIN,Final Fantasy Regional Promos,2025-06-13,promo,false,false,false,FIN,2,2,FIN,,,,"English, Japanese",,2156,,,,,
FIC,Final Fantasy Commander,2025-06-13,commander,false,false,false,FIN,486,100,FIC,,,,"English, French, German, Italian, Japanese, Spanish",,24220,TFIC,6143,Commander: Magic: The Gathering - FINAL FANTASY: Collector's Edition,,Commander
PFIN,Final Fantasy Promos,2025-06-13,promo,false,true,false,FIN,94,116,FIN,,,,English,,92,,,,,
AFIN,Final Fantasy Art Series,2025-06-13,memorabilia,false,false,false,FIN,53,0,FIN,,,,English,,24341,AFIN,,,,
FCA,Final Fantasy: Through the Ages,2025-06-13,masterpiece,false,false,false,FIN,65,0,FCA,,,,"English, Japanese",,24226,,,,,
FIN,Final Fantasy,2025-06-13,expansion,false,false,false,,598,309,FIN,,,,"English, French, German, Italian, Japanese, Spanish",,24219,TFIN,6137,Magic: The Gathering - FINAL FANTASY: Extras,,
WFIN,FIN Asia WPN Promo Tokens,2025-06-13,token,false,true,false,FIN,3,0,FIN,,,,English,,,WFIN,,,,
PSS5,FIN Standard Showdown,2025-06-13,promo,false,true,false,FIN,2,1,PMEI,,,,English,,2067,,,,,
PA1,Pioneer Anthology 1,2025-05-05,box,true,false,true,,11,11,MTGA,,,,English,,13,,,,,
YTDM,Alchemy: Tarkir,2025-04-29,alchemy,true,false,true,TDM,30,33,Y25,,,,English,,24232,,,,,
PTDM,Tarkir: Dragonstorm Promos,2025-04-11,promo,false,false,false,TDM,160,166,TDM,,,,English,,24267,,,,,
ATDM,Tarkir: Dragonstorm Art Series,2025-04-11,memorabilia,false,false,false,TDM,54,0,TDM,,,,English,,24274,ATDM,,,,
TDC,Tarkir: Dragonstorm Commander,2025-04-11,commander,false,false,false,TDM,413,50,TDC,,,,"English, French, German, Italian, Japanese, Spanish",TDC,24234,TTDC,6062,Commander: Tarkir: Dragonstorm,,Commander
